"","X","store_number","month","Age_Band_Ratio","Gender_Ratio","HomeOwner_Ratio","Child_Ratio","Income_Ratio","return_amount","return_quantity","Policy_Change","Treatment","Sales_Price","Sales_Quantity","store_number_of_skus","policy_treatment","avg_return_amount"
"27",26,10,"DEC",4.61732851986,0.894736842105,0.694244604317,0.442446043165,5.96402877698,59046.660682,1247,1,0,604224.897389,20045,4365,0,47.3509708757017
"28",27,10,"FEB",4.45652173913,0.651162790698,0.5,0.5,5.5,8257.2200912,171,1,0,69818.9207816,2500,1492,0,48.2878367906433
"29",28,10,"JAN",4.30555555556,0.62962962963,0.75,0.388888888889,6.16666666667,7045.8201486,173,1,0,114776.951173,4660,2151,0,40.7272840959538
"30",29,10,"JUL",5.13725490196,0.78431372549,0.648148148148,0.444444444444,4.64814814815,10705.0101556,291,0,0,126217.541414,4654,2427,0,36.7869764797251
"31",30,10,"JUN",3.17647058824,0.787878787879,0.571428571429,0.314285714286,4.85714285714,8576.800121,208,0,0,101312.42126,3435,1783,0,41.2346159663462
"32",31,10,"MAR",2.29787234043,0.886363636364,0.702127659574,0.404255319149,5.59574468085,8536.0901195,216,1,0,105056.061375,3338,1756,0,39.5189357384259
"33",32,10,"MAY",3.15384615385,0.875,0.625,0.625,5.2,10496.9901665,203,0,0,132994.531425,4348,2241,0,51.7093111650246
"34",33,10,"NOV",4.953125,0.890909090909,0.640625,0.484375,5.890625,10269.9702127,291,1,0,114075.891439,4271,2082,0,35.2919938580756
"35",34,10,"OCT",4.45833333333,0.906976744186,0.645833333333,0.5625,4.9375,9098.7800885,217,1,0,102296.65106,3688,1743,0,41.9298621589862
"36",35,10,"SEP",4.85964912281,0.732142857143,0.824561403509,0.543859649123,5.87719298246,8793.83012,206,0,0,87569.5110138,2991,1436,0,42.6884957281553
