,YES_CHILD,R_HOME,D,F,G,H,I,J,M,N,O,P,R,S,U,X,Z,Male,customer_id2,net_purchase_amount,Sales_Quantity,Policy_Change,Treatment,customer_id,gender,age_band,est_income_code,ethnic_code,homeowner_code,length_of_residence,child,PC_Treatment
5508,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28460936,382.56,3.0,1,1.0,28460936.0,F,0.0,9.0,H,O,3.0,N,1.0
5509,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28460944,199.99,1.0,0,1.0,28460944.0,F,0.0,5.0,U,R,3.0,N,0.0
5510,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28460944,186.43,2.0,1,1.0,28460944.0,F,0.0,5.0,U,R,3.0,N,1.0
5511,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28463610,55.0,1.0,0,1.0,28463610.0,F,0.0,3.0,H,R,10.0,N,0.0
5512,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28463610,99.99,1.0,1,1.0,28463610.0,F,0.0,3.0,H,R,10.0,N,1.0
5513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28464449,319.98,2.0,0,1.0,28464449.0,F,10.0,6.0,U,O,15.0,N,0.0
5514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28464449,107.23,2.0,1,1.0,28464449.0,F,10.0,6.0,U,O,15.0,N,1.0
5515,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28469368,462.56,7.0,0,1.0,28469368.0,F,5.0,7.0,I,O,15.0,Y,0.0
5516,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28469368,29.99,1.0,1,1.0,28469368.0,F,5.0,7.0,I,O,15.0,Y,1.0
5517,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28470031,275.4,8.0,0,1.0,28470031.0,F,7.0,4.0,H,O,7.0,Y,0.0
5518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28470031,108.2,4.0,1,1.0,28470031.0,F,7.0,4.0,H,O,7.0,Y,1.0
5519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28470792,258.3,3.0,0,1.0,28470792.0,F,0.0,6.0,N,O,15.0,N,0.0
5520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28470792,335.07,5.0,1,1.0,28470792.0,F,0.0,6.0,N,O,15.0,N,1.0
5521,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28475319,2414.94,8.0,0,1.0,28475319.0,M,5.0,9.0,U,R,0.0,N,0.0
5522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28475319,115.83,1.0,1,1.0,28475319.0,M,5.0,9.0,U,R,0.0,N,1.0
5523,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28498465,104.99,1.0,0,1.0,28498465.0,M,0.0,6.0,I,O,7.0,Y,0.0
